county_name,year,GDP,primary_ind,secondary_ind,tertiary_ind,finance_rev,finance_exp,常住人口,城镇人口,乡村人口,人均gdp,第一产业占gdp比重,第二产业占gdp比重,第三产业占gdp比重,城镇化率,财政自给率,非农产业合计占比,gdp相对误差
古交市,2024,905773,36630,492189,376954,207843,302959,208613,160831,47782,43418.81857794097,0.0404405960433795,0.5433911145507759,0.4161682894058445,0.7709538715228677,0.6860433259946065,905773,0.0
新荣区,2019,590971,42365,338203,210403,23823,121538,92258,35772,56486,64056.34199744196,0.0716871047817913,0.5722835807510013,0.3560293144672073,0.3877387326844284,0.1960127696687456,590971,0.0
新荣区,2020,615074,50236,348116,216722,19273,116273,88417,35495,52922,69565.12887793072,0.081674725317604,0.565974175465066,0.3523510992173299,0.4014499474083038,0.1657564524868198,615074,0.0
新荣区,2021,784150,74476,472744,236930,25374,141821,87436,35906,51530,89682.73937508577,0.0949767263916342,0.6028744500414461,0.3021488235669196,0.4106546502584747,0.1789156753936299,784150,0.0
新荣区,2022,925796,86417,585451,253928,30287,147678,87442,36454,50988,105875.4374328126,0.0933434579540201,0.6323758149743572,0.2742807270716227,0.4168934836806111,0.2050880970760709,925796,0.0
新荣区,2023,886853,91762,542490,252601,33645,165166,85846,36584,49262,103307.4342427137,0.1034692333453232,0.6117022776040674,0.2848284890506093,0.4261584698180463,0.2037041521862853,886853,0.0
新荣区,2024,683880,104011,182412,397457,30627,147674,83593,36577,47016,81810.67792757766,0.152089547873896,0.2667310054395508,0.5811794466865532,0.4375605612910171,0.2073960209650988,683880,0.0
平城区,2019,4136028,10152,803479,3322397,87107,241816,1085620,1073683,11937,38098.30327370535,0.0024545288378125,0.1942634334196963,0.8032820377424911,0.9890044398592508,0.3602201674000066,4136028,0.0
平城区,2020,4281681,12429,812723,3456529,92023,289842,1106724,1106724,0,38687.88424214167,0.0029028318550587,0.1898140006226526,0.8072831675222886,1.0,0.3174936689644703,4281681,0.0
平城区,2021,4836449,18777,1052064,3765608,97631,227774,1121168,1121168,0,43137.59400910479,0.0038823938803035,0.217528190620846,0.7785894154988505,1.0,0.4286310114411654,4836449,0.0
平城区,2022,5037542,20863,1119027,3897652,98904,296255,1121736,1121736,0,44908.44548093312,0.0041415039318778,0.2221375027741704,0.7737209932939517,1.0,0.3338475299994937,5037542,0.0
平城区,2023,5281459,23813,1032811,4224865,106994,287685,1127691,1127691,0,46834.27463728983,0.0045087919834273,0.1955541073025465,0.799942780962609,1.0,0.3719137250812521,5281489,5.680248582825314e-06
平城区,2024,5418275,24422,664107,4729746,82905,255770,1136590,1136590,0,47671.32387228464,0.0045073385902339,0.1225679759702119,0.8729246854395541,1.0,0.3241388747703014,5418275,0.0
云冈区,2019,3858963,54832,1990450,1813681,115818,278607,687460,592412,95048,56133.63686614494,0.0142089986351255,0.5157991926846668,0.4699918086802076,0.8617403194367672,0.4157038408941627,3858963,0.0
云冈区,2020,4060052,55435,2051787,1952830,123071,311422,682845,592927,89918,59457.88575738271,0.0136537660108786,0.5053597835692745,0.4809864504198468,0.868318578886863,0.3951904489727765,4060052,0.0
云冈区,2021,5132872,75240,2940645,2116987,160928,321510,683348,594206,89142,75113.58780592027,0.014658460214866,0.5729044090715685,0.4124371307135654,0.8695510925619158,0.5005380859071258,5132872,0.0
云冈区,2022,5648057,81990,3394223,2171844,194599,349744,683627,595370,88257,82618.98666963125,0.0145164965580198,0.6009540980199032,0.384529405422077,0.8708988966205256,0.5564041127224484,5648057,0.0
云冈区,2023,5611359,91901,3312575,2206883,195158,412704,677489,593040,84449,82825.83185852465,0.0163776725032207,0.5903338210939632,0.3932885064028161,0.8753500056827491,0.4728764441342948,5611359,0.0
云冈区,2024,5442839,94494,3184916,2163429,198190,365985,667746,588546,79200,81510.61930734142,0.0173611602327388,0.5851571211274116,0.3974817186398495,0.881392026309405,0.5415249258849406,5442839,0.0
云州区,2019,1252023,69729,613940,568354,24704,157097,154711,72128,82583,80926.56630750238,0.055693066341433,0.4903584039590327,0.4539485296995342,0.4662111937741983,0.1572531620591099,1252023,0.0
云州区,2020,1273464,78266,631337,563861,25554,195019,150666,72597,78069,84522.3208952252,0.0614591382245591,0.4957635237431133,0.4427773380323275,0.4818406276133965,0.131033386490547,1273464,0.0
云州区,2021,1679877,117547,926592,635738,30297,199360,148481,72721,75760,113137.50580882402,0.0699735754462975,0.5515832409158528,0.3784431836378497,0.4897663674140126,0.1519713081861958,1679877,0.0
云州区,2022,2032196,126222,1235641,670333,34537,217969,148571,73528,75043,136782.8176427432,0.0621111349495816,0.6080323945131276,0.3298564705372906,0.4949014276002719,0.1584491372626382,2032196,0.0
云州区,2023,2119851,140881,1290847,688123,40085,245275,146118,73534,72584,145078.01913521948,0.0664579727537454,0.6089328919815591,0.3246091352646955,0.5032507973008117,0.1634288044032208,2119851,0.0
云州区,2024,1218332,145196,409081,664055,47452,263270,143404,73605,69799,84958.02069677276,0.1191760538178427,0.3357713660972543,0.545052580084903,0.5132702016680148,0.1802408174117825,1218332,0.0
阳高县,2019,510331,122815,122067,265449,14770,211196,198685,87970,110715,25685.43171351637,0.2406575340318342,0.2391918186431943,0.5201506473249714,0.4427611545914387,0.0699350366484213,510331,0.0
阳高县,2020,552958,150539,132001,270418,15140,243501,191446,86718,104728,28883.236003886213,0.2722430998376007,0.2387179496453618,0.4890389505170374,0.4529632376753758,0.0621763360314742,552958,0.0
阳高县,2021,732040,235553,196963,299524,16607,213856,186628,86101,100527,39224.55365754335,0.3217761324517786,0.2690604338560734,0.4091634336921479,0.4613509226911289,0.0776550576088583,732040,0.0
阳高县,2022,799179,239867,230393,328919,17821,248551,186689,87165,99524,42808.0390381865,0.3001417704919674,0.288287104641138,0.4115711248668947,0.4668994959531627,0.0716995707118458,799179,0.0
阳高县,2023,812925,238360,224217,350348,19752,307255,182591,86837,95754,44521.63578708698,0.2932127810068579,0.2758151120952117,0.4309721068979303,0.4755820385451638,0.0642853655758246,812925,0.0
阳高县,2024,935622,258919,187769,488934,20411,304372,177129,86077,91052,52821.50297240994,0.2767346214603761,0.2006889534448741,0.5225764250947498,0.4859565627311168,0.0670593878543361,935622,0.0
天镇县,2019,374746,75170,90921,208655,24543,280291,166796,67760,99036,22467.325355524117,0.2005891990841797,0.2426203348401317,0.5567904660756886,0.406244754070841,0.0875625689016058,374746,0.0
天镇县,2020,406904,89381,96235,221288,19402,295594,160243,67113,93130,25392.93448075735,0.2196611485755853,0.2365054165110198,0.5438334349133948,0.4188201668715638,0.0656373268740231,406904,0.0
天镇县,2021,502179,127314,128649,246216,18190,243807,158870,67957,90913,31609.42909296909,0.2535231461291691,0.2561815607582157,0.4902952931126152,0.4277522502675143,0.0746081941863851,502179,0.0
天镇县,2022,545925,135771,142739,267415,19996,240972,158976,68980,89996,34340.08907004831,0.2486989971149883,0.26146265512662,0.4898383477583917,0.4339019726247987,0.0829805952558803,545925,0.0
天镇县,2023,554400,146419,116763,291218,20490,302938,155446,68870,86576,35665.11843341096,0.2641035353535353,0.2106114718614718,0.5252849927849927,0.4430477464843096,0.0676376024136952,554400,0.0
天镇县,2024,626045,153948,127919,344178,23889,311154,151490,68820,82670,41325.83008779457,0.2459056457602888,0.2043287623094186,0.5497655919302925,0.4542874117103439,0.0767754873792398,626045,0.0
广灵县,2019,407690,75294,126453,205943,25284,256600,157105,53204,103901,25950.16072053722,0.1846844416100468,0.3101694915254237,0.5051460668645295,0.3386524935552656,0.0985346843335931,407690,0.0
广灵县,2020,423615,80920,128966,213729,26737,290196,153823,54626,99197,27539.11963750545,0.1910225086458222,0.3044415329957626,0.504535958358415,0.3551224459281122,0.0921342816579139,423615,0.0
广灵县,2021,525813,105935,182841,237037,31621,236267,153597,56105,97492,34233.285806363405,0.2014689633006411,0.3477300865516828,0.450800950147676,0.3652740613423439,0.1338358721277199,525813,0.0
广灵县,2022,603984,107276,227481,269227,17737,231520,153673,57674,95999,39303.19574681304,0.1776139765291795,0.3766341492489867,0.4457518742218337,0.3753034039811808,0.0766110919143054,603984,0.0
广灵县,2023,654308,117637,231590,305081,19715,258437,152535,58999,93536,42895.59773166814,0.1797884176870831,0.3539464594655728,0.466265122847344,0.3867899170682138,0.0762855163927765,654308,0.0
广灵县,2024,659178,121080,141049,397049,21173,278783,151111,60486,90625,43622.10560448941,0.18368331467373,0.2139771048184253,0.6023395805078446,0.4002752943200693,0.0759479595240742,659178,0.0
灵丘县,2019,506582,48581,152707,305294,18793,232610,214971,75562,139409,23565.132041066005,0.0958995779557899,0.3014457679112167,0.6026546541329932,0.351498574226291,0.0807918834099995,506582,0.0
